Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
K05B2.4	WBGene00019404	K05B2.4	K05B2.4	CELE_K05B2.4	N.A.	N.A.	N.A.	Is predicted to have thiolester hydrolase activity. Is an ortholog of human ACOT1 (acyl-CoA thioesterase 1).	WBPaper00038491|pmid21647448, WBPaper00042257|pmid23496871, WBPaper00046514|pmid10567408, WBPaper00055090|pmid30120140
F44A2.7	WBGene00018406	F44A2.7	F44A2.7	CELE_F44A2.7	transgene expression reduced	N.A.	N.A.	Is enriched in ASER and AVK based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on microarray\; tiling array\; and RNA-seq studies. Is affected by nine chemicals including rotenone\; multi-walled carbon nanotube\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Protein of unknown function (DUF1248)\; Acetyltransferase (GNAT) domain\; Domain of unknown function DUF1248\; Acyl-CoA N-acyltransferase\; and YitH, acetyltransferase (GNAT) domain.	WBPaper00038341|pmid21527776
T06D8.10	WBGene00011530	T06D8.10	T06D8.10	CELE_T06D8.10	dauer lifespan extended	N.A.	N.A.	Is predicted to have heme binding activity and peroxidase activity.	N.A.
dlhd-1	WBGene00020741	dlhd-1	T23F4.3	CELE_T23F4.3	N.A.	N.A.	N.A.	Is predicted to have hydrolase activity.	N.A.
srx-2	WBGene00005893	srx-2	R03H4.2	CELE_R03H4.2	N.A.	N.A.	N.A.	Is enriched in RIS based on RNA-seq studies. Is affected by several genes including daf-16\; eat-2\; and hsp-6 based on microarray\; tiling array\; and RNA-seq studies. Is affected by six chemicals including Alovudine\; Psoralens\; and allantoin based on RNA-seq studies. Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srx and 7TM GPCR, serpentine receptor class x  (Srx).	N.A.
spp-19	WBGene00005004	spp-19	K04A8.9	CELE_K04A8.9	dauer lifespan extended	N.A.	N.A.	Is predicted to have transmembrane receptor protein serine\/threonine kinase activity.	N.A.
M03E7.3	WBGene00019755	M03E7.3	M03E7.3	CELE_M03E7.3	N.A.	N.A.	N.A.	Is affected by several genes including daf-2\; eat-2\; and isp-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by six chemicals including methylmercuric chloride\; multi-walled carbon nanotube\; and Diazinon based on microarray and RNA-seq studies.	N.A.
F01G10.9	WBGene00008511	F01G10.9	F01G10.9	CELE_F01G10.9	accumulated germline cell corpses, apoptosis variant, cell membrane organization biogenesis variant, diplotene region organization variant, germ cell compartment anucleate, germ cell compartment expansion variant, germ cell compartment morphology variant, gonad vesiculated, maternal sterile, nuclei enlarged, oocyte morphology variant, oocyte number decreased, oocytes lack nucleus, pachytene region organization variant, rachis narrow, sterile	lethal, sterile	N.A.	Is enriched in hypodermis based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; microarray\; and RNA-seq studies. Is affected by fourteen chemicals including Heme\; methylmercury hydroxide\; and stavudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: .	N.A.
nhr-67	WBGene00003657	nhr-67	C08F8.8	lsy-9, CELE_C08F8.8	adult lethal, avoids bacterial lawn, cell fusion variant, cell migration variant, ectopic expression transgene, egg laying defective, gonad migration variant, linker cell migration variant, linker cell morphology variant, locomotion variant, loss of asymmetry ASE, male gonad development variant, mRNA expression variant, organism hypertonic lethality increased, pattern of transgene expression variant, protruding vulva, slow growth, small, sterile, transgene expression increased, transgene expression reduced, transgene expression reduced male, vulva morphology variant	alae morphology variant, anchor cell fusion defective, cell differentiation variant, cilia morphology variant, cuticle morphology variant, dendrite development variant, egg laying defective, egg laying variant, embryonic arrest, embryonic lethal, excretory canal morphology variant, feeding inefficient, gene expression level reduced, intestinal development variant, L1 arrest, larval lethal, lethal, locomotion variant, loss of asymmetry ASE, neuronal cell fate specification variant, pattern of transgene expression variant, pharyngeal morphology variant, protruding vulva, reduced brood size, slow growth, sterile, tail morphology variant, uterine vulval cell development variant	nhr-67 encodes a nuclear receptor that is orthologous to Drosophila and vertebrate tailless hormone receptors\; during development, nhr-67 plays an essential role in larval development and also functions as part of a complex regulatory network that regulates vulval patterning and differentiation and thus, egg laying\; specifically, nhr-67 functions to positively regulate gene expression in the vulA, vulD, and vulF cells and negatively regulate gene expression in vulE and vulF\; in regulating vulval gene expression, nhr-67 functions together with other transcription factors, including egl-38, lin-11, and cog-1\; NHR-67 exhibits sequence-specific DNA binding in vitro and the NHR-67 DNA binding domain, when fused to the GAL4 transcriptional activator, can positively regulate transcription in yeast one-hybrid assays\; nhr-67 reporter fusion constructs are expressed dynamically in multiple vulval cell types as well as in head neurons, the hyp7 syncytium, late-stage embryos, the male tail, the anchor cell, and the linker cell.	Exhibits DNA-binding transcription factor activity and RNA polymerase II regulatory region sequence-specific DNA binding activity. Is involved in several processes, including gonad morphogenesis\; positive regulation of cell cycle arrest\; and positive regulation of transcription by RNA polymerase II. Localizes to nucleus. Is expressed in several structures, including excretory cell\; head ganglion\; neurons\; rectal valve cell\; and vulval cell. Is an ortholog of human NR2E1 (nuclear receptor subfamily 2 group E member 1).	WBPaper00006412|pmid14738886, WBPaper00026627|pmid15983867, WBPaper00029327|pmid17465684, WBPaper00030973|pmid17717195, WBPaper00031380|pmid18179707, WBPaper00032236|pmid18829898, WBPaper00032452|pmid19104047, WBPaper00035106|pmid19641012, WBPaper00035457|pmid19906858, WBPaper00038491|pmid21647448, WBPaper00039839|pmid21718694, WBPaper00041200|pmid22690911, WBPaper00041549|pmid22991463, WBPaper00043890|pmid23797102, WBPaper00048714|pmid26506306, WBPaper00055090|pmid30120140, WBPaper00055608|pmid30404043
F47G3.3	WBGene00018578	F47G3.3	F47G3.3	CELE_F47G3.3	embryonic lethal	N.A.	N.A.	Is enriched in several structures, including Z4.a\; germ line\; germline precursor cell\; male distal tip cell\; and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; glp-1\; and age-1 based on microarray\; RNA-seq\; and proteomic studies. Is affected by nine chemicals including stavudine\; Zidovudine\; and allantoin based on RNA-seq and microarray studies.	N.A.
F15B9.8	WBGene00008851	F15B9.8	F15B9.8	CELE_F15B9.8	N.A.	N.A.	N.A.	Is enriched in several structures, including AFD\; NSM\; germline precursor cell\; intestine\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-eight chemicals including Ethanol\; Nitric Oxide\; and methylmercury hydroxide based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Thrombospondin type 1 domain\; Thrombospondin type-1 (TSP1) repeat\; and Thrombospondin type-1 (TSP1) repeat superfamily.	N.A.
F36H9.7	WBGene00018115	F36H9.7	F36H9.7	CELE_F36H9.7	N.A.	N.A.	N.A.	Is enriched in neurons\; retrovesicular ganglion\; and ventral nerve cord based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including rrf-3\; eat-2\; and aak-2 based on microarray and RNA-seq studies. Is affected by six chemicals including stavudine\; allantoin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Sleepless protein and Protein quiver.	N.A.
ZC449.1	WBGene00022611	ZC449.1	ZC449.1	CELE_ZC449.1	N.A.	N.A.	N.A.	Is enriched in germline precursor cell\; hypodermis\; muscle cell\; neurons\; and retrovesicular ganglion based on microarray and tiling array studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by fifteen chemicals including methylmercury hydroxide\; Alovudine\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PAN domain and PAN\/Apple domain.	N.A.
mnp-1	WBGene00007139	mnp-1	B0285.7	CELE_B0285.7	dauer lifespan extended, embryonic lethal, larval arrest, larval lethal, locomotion variant	lethal, sterile	mnp-1 encodes a protein related to the M1 family of metalloproteinases, but whose sequence indicates that it is unlikely to be catalytically active (MNP-1 lacks three of the four essential zinc-binding amino acids)\; during embryonic development mnp-1 activity is required, likely cell autonomously, for migration of muscle cells from their lateral positions to their final positions close to the dorsal and ventral midlines and for proper body morphology\; an MNP-1::GFP reporter fusion localizes to the plasma membrane and is expressed from the 400-cell stage of embryogenesis through the early first larval stage in body-wall muscle, the Z1 and Z4 somatic gonad precursors, and cells in the dorsal anterior region that are likely to be neuronal precursors.	Is expressed in Z1\; Z4\; body wall musculature\; neuroblasts\; and neurons. Is predicted to encode a protein with the following domains: Peptidase M1 N-terminal domain and Aminopeptidase N-like , N-terminal.	WBPaper00031840|pmid18452914, WBPaper00050854|pmid28238735
ugt-52	WBGene00018931	ugt-52	F56B3.7	CELE_F56B3.7	N.A.	N.A.	N.A.	Is predicted to have UDP-glycosyltransferase activity. Human ortholog(s) of this gene are implicated in Crigler-Najjar syndrome and Gilbert syndrome. Is an ortholog of several human genes including UGT2B11 (UDP glucuronosyltransferase family 2 member B11)\; UGT3A1 (UDP glycosyltransferase family 3 member A1)\; and UGT3A2 (UDP glycosyltransferase family 3 member A2).	WBPaper00055433|pmid30293057
C50E3.6	WBGene00016817	C50E3.6	C50E3.6	CELE_C50E3.6	N.A.	N.A.	N.A.	Is enriched in ASER\; GABAergic neurons\; PLM\; and neurons based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by six chemicals including allantoin\; metformin\; and Sirolimus based on RNA-seq and microarray studies.	N.A.
vab-7	WBGene00006873	vab-7	M142.4	CELE_M142.4	embryonic lethal, locomotion variant, organism morphology variant	amplitude of sinusoidal movement variant, backing decreased, backward point velocity variant, body posture amplitude increased, body posture wavelength decreased, cell position defective early emb, coiling frequency increased, ectopic expression transgene, fat, forward locomotion decreased, forward point velocity variant, frequency of body bend variant, head bend angle variant, locomotion variant, male tail morphology variant, nose movement variant, organism morphology variable, path curvature increased, pausing increased, roaming reduced, short, tail bend angle variant, tail bobbed, tail morphology variant, turning frequency increased	The vab-7 gene encodes an even-skipped-like homeodomain protein that is required for DB motoneuron identity and posterior DB axonal polarity.	Is predicted to have DNA binding activity. Localizes to nucleus. Is expressed in muscle cell\; neurons\; somatic nervous system\; and tail hypodermis. Is an ortholog of human EVX1 (even-skipped homeobox 1) and EVX2 (even-skipped homeobox 2).	WBPaper00000498|pmid7262542, WBPaper00000608|pmid17246100, WBPaper00001348|pmid17810870, WBPaper00001437|pmid1657704, WBPaper00001687|pmid8384144, WBPaper00002047|pmid7607088, WBPaper00002462|pmid8654927, WBPaper00002573|pmid8861906, WBPaper00002923|pmid9367442, WBPaper00004534|pmid11124120, WBPaper00004995|pmid11684665, WBPaper00005153|pmid11861469, WBPaper00006052|pmid12952888, WBPaper00024194|pmid15102704, WBPaper00024524|pmid15059258, WBPaper00025032|pmid15772128, WBPaper00025190|pmid15892873, WBPaper00031525|pmid18277379, WBPaper00034710|pmid19589887, WBPaper00038491|pmid21647448, WBPaper00041768|pmid23177960, WBPaper00043908|pmid23852451, WBPaper00055090|pmid30120140
tmc-1	WBGene00020490	tmc-1	T13G4.3	R193.f, R193.f, T13G4.e, T13G4.e, CELE_T13G4.3	N.A.	high pH avoidance defective	tmc-1 encodes a multipass transmembrane protein\; TMC-1 functions specifically as a sodium-sensitive channel that is required for salt taste chemosensation in the ASH neurons and for high salt avoidance behavior\; when expressed in other neurons, TMC-1 is sufficient to generate a salt response in vivo, and when expressed in mammalian cells, TMC-1 generates a predominantly cationic current activated by high extracellular sodium but not other cations or uncharged small molecules\; tmc-1 is expressed in sensory neurons, including the ASH, ADF, ASE, ADL, AQR, PQR, URX, and PHA neurons and also at lower frequency in AWC, AFD, and BAG\; in ASH, TMC-1 localizes to the cell soma as well as the sensory cilium.	Exhibits sodium channel activity. Is involved in detection of stimulus involved in sensory perception\; ion transmembrane transport\; and sensory perception of chemical stimulus. Localizes to integral component of plasma membrane\; neuronal cell body\; and non-motile cilium. Is expressed in body wall musculature and neurons. Is an ortholog of human TMC3 (transmembrane channel like 3).	WBPaper00038491|pmid21647448, WBPaper00041946|pmid23364694, WBPaper00046467|pmid25695879, WBPaper00049733|pmid27321925, WBPaper00049797|pmid27387645, WBPaper00053659|pmid29395910, WBPaper00055090|pmid30120140, WBPaper00059530|pmid32228447, WBPaper00059597|pmid32325031
cal-8	WBGene00017394	cal-8	F12A10.5	CELE_F12A10.5	N.A.	N.A.	N.A.	Is predicted to have calcium ion binding activity.	WBPaper00038491|pmid21647448, WBPaper00050050|pmid27558386, WBPaper00055090|pmid30120140
ZC15.5	WBGene00013833	ZC15.5	ZC15.5	CELE_ZC15.5	N.A.	N.A.	N.A.	Is enriched in AVE and head mesodermal cell based on tiling array and RNA-seq studies. Is affected by several genes including skn-1\; eat-2\; and dpy-7 based on RNA-seq studies. Is affected by Zidovudine\; Sodium Chloride\; and Cry5B based on RNA-seq and microarray studies.	N.A.
F32B4.8	WBGene00009318	F32B4.8	F32B4.8	CELE_F32B4.8	N.A.	N.A.	N.A.	Is affected by several genes including daf-16\; daf-2\; and let-60 based on microarray and RNA-seq studies. Is affected by thirteen chemicals including methylmercury hydroxide\; manganese chloride\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PAN domain and PAN\/Apple domain.	N.A.
F53F8.7	WBGene00077786	F53F8.7	F53F8.7	CELE_F53F8.7	N.A.	N.A.	N.A.	Is enriched in NSM\; dopaminergic neurons\; muscle cell\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including pgl-1\; csr-1\; and glh-1 based on RNA-seq studies. Is affected by four chemicals including multi-walled carbon nanotube\; Psoralens\; and Tunicamycin based on RNA-seq and microarray studies.	N.A.
C09F12.3	WBGene00007483	C09F12.3	C09F12.3	CELE_C09F12.3	N.A.	N.A.	N.A.	Is enriched in GABAergic neurons and excretory cell based on tiling array studies. Is affected by several genes including clk-1\; elt-2\; and mir-34 based on microarray and RNA-seq studies. Is affected by 1-methylnicotinamide based on RNA-seq studies. Is predicted to encode a protein with the following domains: 7 transmembrane receptor (rhodopsin family) and GPCR, rhodopsin-like, 7TM.	N.A.
F23F12.8	WBGene00017754	F23F12.8	F23F12.8	CELE_F23F12.8	larval arrest	N.A.	F23F12.8 encodes a large (980-residue) protein, predicted to besecreted, with two chitin-binding peritrophin-A domains, separated by alow-complexity region\; F23F12.8 is synthesized in larval and adultpharynx, a known site of chitin deposition\; like CEJ-1 and CPG-2 inembryos, F23F12.8 might participate in chitin synthesis, and itsperitrophin-A domains might enable mechanical cross-linking of chitin.	Is enriched in several structures, including AVA\; Z4.a\; male distal tip cell\; pharyngeal muscle cell\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; skn-1\; and let-60 based on microarray and RNA-seq studies. Is affected by seventeen chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Family of unknown function (DUF5401)\; Peptidase C65, otubain\; and Protein of unknown function DUF5401.	N.A.
twk-9	Multiple entries : 2
nekl-4	WBGene00017033	nekl-4	D1044.8	CELE_D1044.8	N.A.	N.A.	N.A.	Is predicted to have ATP binding activity\; metal ion binding activity\; and protein serine\/threonine kinase activity. Is an ortholog of human NEK10 (NIMA related kinase 10).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
F28C6.5	WBGene00009205	F28C6.5	F28C6.5	CELE_F28C6.5	embryonic lethal late emb	N.A.	N.A.	Is enriched in germline precursor cell\; hypodermis\; muscle cell\; and neurons based on tiling array and microarray studies. Is affected by several genes including daf-2\; rrf-3\; and dpy-10 based on microarray and RNA-seq studies. Is affected by six chemicals including Heme\; glycine\; and estrogen based on microarray and RNA-seq studies.	N.A.
F32D1.11	WBGene00044530	F32D1.11	F32D1.11	CELE_F32D1.11	N.A.	N.A.	N.A.	Is enriched in PLM and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and bar-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by fourteen chemicals including methylmercury hydroxide\; manganese chloride\; and D-glucose based on RNA-seq and microarray studies.	N.A.
F53A2.1	WBGene00009949	F53A2.1	F53A2.1	CELE_F53A2.1	N.A.	N.A.	N.A.	Is enriched in AVK\; dopaminergic neurons\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and eat-2 based on microarray and RNA-seq studies. Is affected by eight chemicals including stavudine\; Zidovudine\; and metformin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
aat-2	WBGene00000003	aat-2	F07C3.7	CELE_F07C3.7	chemical resistant, metal response variant	N.A.	aat-2 encodes a predicted amino acid transporter catalytic subunit\; when co-expressed in Xenopus oocytes with a glycoprotein subunit, however, AAT-2 is not able to induce amino acid uptake.	Is predicted to have transmembrane transporter activity. Human ortholog(s) of this gene are implicated in cystinuria and lysinuric protein intolerance. Is an ortholog of human SLC7A7 (solute carrier family 7 member 7).	WBPaper00006408|pmid14668347, WBPaper00032078|pmid18677319, WBPaper00038491|pmid21647448, WBPaper00042390|pmid23669041, WBPaper00050950|pmid28316775, WBPaper00055090|pmid30120140
K04F10.2	WBGene00019395	K04F10.2	K04F10.2	CELE_K04F10.2	N.A.	axoneme morphology variant	N.A.	Is involved in motile cilium assembly. Localizes to ciliary base. Is expressed in ciliated neurons and intestinal cell. Human ortholog(s) of this gene are implicated in Joubert syndrome 26. Is an ortholog of human KATNIP (katanin interacting protein).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
C29F4.3	WBGene00007809	C29F4.3	C29F4.3	CELE_C29F4.3	N.A.	N.A.	N.A.	Is enriched in DA neuron\; I5 neuron\; SAB\; neurons\; and retrovesicular ganglion based on tiling array and microarray studies. Is affected by several genes including clk-1\; eat-2\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by six chemicals including Psoralens\; allantoin\; and Sirolimus based on RNA-seq and microarray studies.	N.A.
F19C7.8	WBGene00017597	F19C7.8	F19C7.8	CELE_F19C7.8	N.A.	N.A.	N.A.	Is enriched in head mesodermal cell\; muscle cell\; and neurons based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including eat-2\; sir-2.1\; and dpy-7 based on microarray and RNA-seq studies. Is affected by ten chemicals including rotenone\; Tunicamycin\; and stavudine based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in Native American myopathy. Human STAC3 exhibits identical protein binding activity. Is predicted to encode a protein with the following domain: STAC1\/2\/3. Is an ortholog of human STAC (SH3 and cysteine rich domain)\; STAC2 (SH3 and cysteine rich domain 2)\; and STAC3 (SH3 and cysteine rich domain 3).	N.A.
C49C3.11	WBGene00008201	C49C3.11	C49C3.11	CELE_C49C3.11	male mating defective, maternal sterile	N.A.	N.A.	Is predicted to have carbohydrate binding activity.	WBPaper00028451|pmid16943775
ZK742.4	WBGene00022814	ZK742.4	ZK742.4	CELE_ZK742.4	cell division variant, endoderm absent, no gut granules, pattern protein expression variant	N.A.	ZK742.4 encodes a predicted NADH:flavin oxidoreductase\; by sequence similarity, the product of ZK742.4 is predicted to play a role in lipid metabolism\; ZK742.4 expression is regulated by the DAF-16 FOXO transcription factor.	Is predicted to have FMN binding activity and oxidoreductase activity.	WBPaper00005896|pmid12882324, WBPaper00036474|pmid20613724
acd-4	WBGene00017879	acd-4	F28A12.1	CELE_F28A12.1	N.A.	N.A.	N.A.	Is predicted to have sodium channel activity. Human ortholog(s) of this gene are implicated in autosomal recessive pseudohypoaldosteronism type 1 and bronchiectasis 3. Is an ortholog of several human genes including ASIC1 (acid sensing ion channel subunit 1)\; ASIC2 (acid sensing ion channel subunit 2)\; and ASIC4 (acid sensing ion channel subunit family member 4).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
T08B2.15	WBGene00206356	T08B2.15	T08B2.15	CELE_T08B2.15	maternal sterile	N.A.	N.A.	Is enriched in male based on RNA-seq studies. Is affected by ints-4 based on RNA-seq studies. Is affected by five chemicals including Psoralens\; allantoin\; and metformin based on RNA-seq studies.	N.A.
F01G10.6	WBGene00008509	F01G10.6	F01G10.6	CELE_F01G10.6	N.A.	N.A.	N.A.	Is enriched in ALM and PLM based on microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by eleven chemicals including 1-methylnicotinamide\; Zidovudine\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	WBPaper00026952|pmid16314527
sfrp-1	WBGene00022242	sfrp-1	Y73B6BL.21	CELE_Y73B6BL.21	N.A.	ALM migration variant, neuron migration variant, posterior neuron migration variant, Q neuroblast lineage migration variant	N.A.	Localizes to nucleus. Is expressed in head muscle and ventral cord neurons. Is an ortholog of human SFRP1 (secreted frizzled related protein 1) and SFRP2 (secreted frizzled related protein 2).	WBPaper00038444|pmid21611156, WBPaper00038491|pmid21647448, WBPaper00038522|pmid21653614, WBPaper00041988|pmid23319891, WBPaper00055090|pmid30120140
Y4C6B.2	WBGene00021156	Y4C6B.2	Y4C6B.2	Y4C6B.g, Y4C6B.g, CELE_Y4C6B.2	locomotion variant	N.A.	N.A.	Is enriched in dopaminergic neurons\; hypodermis\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by fifteen chemicals including hydrogen sulfide\; Mercuric Chloride\; and rotenone based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Transmembrane amino acid transporter protein and Amino acid transporter, transmembrane domain. Is an ortholog of human SLC38A8 (solute carrier family 38 member 8).	N.A.
nas-36	WBGene00003552	nas-36	C26C6.3	CELE_C26C6.3	kinker, locomotion variant, molt defect	N.A.	nas-36 encodes an astacin-like protease\; nas-36 activity is required for molting\; a nas-36::gfp reporter is expressed in hypodermal cells.	Is predicted to have metalloendopeptidase activity and zinc ion binding activity. Is involved in molting cycle. Is expressed in hypodermal cell and vulva.	WBPaper00006254|pmid14653817, WBPaper00024242|pmid15255192, WBPaper00037101|pmid20800010, WBPaper00044676|pmid24402824, WBPaper00055090|pmid30120140
C34C12.6	WBGene00007925	C34C12.6	C34C12.6	CELE_C34C12.6	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including rrf-3\; hsf-1\; and clk-1 based on microarray\; RNA-seq\; and proteomic studies. Is affected by fourteen chemicals including stavudine\; Zidovudine\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: CRAL\/TRIO domain\; CRAL-TRIO lipid binding domain\; and CRAL-TRIO lipid binding domain superfamily. Is an ortholog of human SEC14L2 (SEC14 like lipid binding 2)\; SEC14L3 (SEC14 like lipid binding 3)\; and SEC14L4 (SEC14 like lipid binding 4).	N.A.
srsx-30	WBGene00008251	srsx-30	C51E3.5	CELE_C51E3.5	N.A.	N.A.	N.A.	Is predicted to have G protein-coupled receptor activity. Is expressed in GABAergic neurons\; I4 neuron\; and head.	WBPaper00055090|pmid30120140
che-11	WBGene00000490	che-11	C27A7.4	mev-4, ift-140, CELE_C27A7.4	N.A.	amphid channel cilia morphology variant, cephalic sensillum morphology variant, cilia morphology variant, dauer defective, dauer formation variant, deirid sensillum morphology variant, dye filling defect, ivermectin resistant, male mating efficiency reduced, male ray morphology variant, odorant positive chemotaxis defective, osmotic avoidance defective, sodium chloride chemotaxis defective	che-11 encodes a large, unfamiliar protein with orthologs in vertebrates and arthropods (e.g., KIAA0590 and CG11838-PA) and in Chlamydomonas (IFT140), as well as distant similarity to OSM-1 and ZK520.1\; che-11 is required for normal synthesis of sensory cilia (via intraflagellar transport) in sensory neurons, osmotic avoidance, and dauer formation.	Is involved in several processes, including dauer entry\; determination of adult lifespan\; and positive regulation of intracellular protein transport. Localizes to non-motile cilium. Is expressed in head and neurons. Human ortholog(s) of this gene are implicated in short-rib thoracic dysplasia 9 with or without polydactyly. Is an ortholog of human IFT140 (intraflagellar transport 140).	WBPaper00000932|pmid2428682, WBPaper00001482|pmid1732156, WBPaper00001774|pmid8375650, WBPaper00001786|pmid8348618, WBPaper00001854|pmid8138152, WBPaper00002087|pmid7705621, WBPaper00002485|pmid8807293, WBPaper00003835|pmid10617200, WBPaper00003977|pmid10882127, WBPaper00004405|pmid11063684, WBPaper00004715|pmid11301258, WBPaper00005274|pmid12019227, WBPaper00005876|pmid12802075, WBPaper00006052|pmid12952888, WBPaper00006516|pmid14982934, WBPaper00024240|pmid15231740, WBPaper00024994|pmid15693946, WBPaper00025051|pmid15790967, WBPaper00026601|pmid15916950, WBPaper00026918|pmid16244463, WBPaper00028470|pmid16957054, WBPaper00028471|pmid16968739, WBPaper00028563|pmid17021254, WBPaper00029060|pmid17251413, WBPaper00029131|pmid17314406, WBPaper00029264|pmid17420466, WBPaper00029400|pmid17510633, WBPaper00031483|pmid18245347, WBPaper00031566|pmid18316409, WBPaper00031625|pmid18366811, WBPaper00031632|pmid18369462, WBPaper00031856|pmid18457595, WBPaper00032252|pmid18843046, WBPaper00032899|pmid19208769, WBPaper00033037|pmid19339602, WBPaper00037836|pmid21124868, WBPaper00038248|pmid21422230, WBPaper00038491|pmid21647448, WBPaper00040543|pmid22180729, WBPaper00045913|pmid25335890, WBPaper00055090|pmid30120140, WBPaper00055368|pmid30253131, WBPaper00055661|pmid30428341
grl-13	WBGene00001722	grl-13	F32D1.4	CELE_F32D1.4	N.A.	N.A.	grl-13 encodes a hedgehog-like protein, with an N-terminal signalsequence, a central low-complexity region, and a C-terminal Ground-like(Grl) domain\; GRL-13 is expressed in larval arcade cells\; the Grl domainis predicted to form a cysteine-crosslinked protein involved inintercellular signalling, and it has subtle similarity to the N-terminalHedge domain of HEDGEHOG proteins.	Is enriched in AVA and dopaminergic neurons based on tiling array studies. Is affected by several genes including clk-1\; sek-1\; and pgl-1 based on microarray and RNA-seq studies. Is affected by seven chemicals including methylmercuric chloride\; Tunicamycin\; and Rifampin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain.	WBPaper00003717|pmid10523520, WBPaper00028754|pmid17076889, WBPaper00031588|pmid18334026
plg-1	WBGene00004041	plg-1	F44E2.11	CELE_F44E2.11	N.A.	mating plug produced	plg-1 is defined by a single, autosomal dominant mutation that results in formation of a gelatinous copulatory plug over the vulva by males after mating\; analysis of natural isolates of C. elegans indicates that formation of a copulatory plug does not occur in the standard laboratory strain, N2, but does occur in other isolates\; in N2, the plg-1 gene, which can encode a protein with similarity to mucin glycoproteins, is disrupted by a gypsy\/Ty3 type retrotransposon, Cer1\; a stable plg-1 transcript is absent in non-plugging strains such as N2, but a spliced transcript from the gene is present in RNA from adult males of plugging strains\; the conserved 5' region of plg-1, when fused to a GFP reporter, directs expression exclusively in males in 12 cells of the vas deferens at the L4 stage prior to the adult molt.	Is expressed in vas deferens and in male.	WBPaper00001580|pmid28568672, WBPaper00002770|pmid9136008, WBPaper00032027|pmid18633349, WBPaper00032384|pmid19036334, WBPaper00035901|pmid20109657, WBPaper00036048|pmid20223759
F31E3.2	WBGene00017950	F31E3.2	F31E3.2	CELE_F31E3.2	multivulva, transgene expression reduced, vulva cell fate specification variant	N.A.	N.A.	Is predicted to have ATP binding activity and protein serine\/threonine kinase activity. Is an ortholog of human RSKR (ribosomal protein S6 kinase related).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
